score_version,model,slice,axis,true,false,unknown,n,bound_lower,bound_upper,bound_lower_pct,bound_upper_pct,finite_execution_categories,evidence_id
assistant_owner_clarification_4_v1,EXT-B,old_practical38,format,1,20,0,21,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,old_python14,content,4,10,0,14,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,old_python14,joint,3,11,0,14,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,old_python14,format,2,2,0,4,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,old_python14,interface,13,1,0,14,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,old_python14,historical_finite_categories,,,,,,,,,"{""fail"": 8, ""fail_or_unextractable"": 1, ""pass"": 4, ""tool_unknown"": 1}",EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,new_natural64,content,0,64,0,64,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,new_natural64,joint,0,64,0,64,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,new_natural64,format,3,15,0,18,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,new_python32,content,2,30,0,32,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,new_python32,joint,2,30,0,32,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,new_python32,format,0,0,0,0,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,new_python32,interface,31,1,0,32,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,new_python32,historical_finite_categories,,,,,,,,,"{""fail"": 21, ""fail_or_unextractable"": 2, ""pass"": 7, ""tool_unknown"": 2}",EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,practical27_joint,joint_group_bounds,,,,,8/81,1/9,9.876543,11.111111,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,new_natural64,category:R1DEV-CONTEXT,0,16,0,16,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,new_natural64,category:R1DEV-REWRITE,0,16,0,16,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,new_natural64,category:R1DEV-FOLLOWUP,0,16,0,16,,,,,,EVID-ASSIST-C4
assistant_owner_clarification_4_v1,EXT-B,new_natural64,category:R1DEV-CONDITIONAL,0,16,0,16,,,,,,EVID-ASSIST-C4
